epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5753,0.99887,1.40516,1.07586,0.92667,0.94203,0.96058,0.72537,0.89504,1.10376,1.02693,0.000662162,0.000662162,0.000662162
2,77.6593,0.96006,0.86609,1.03382,0.9663,0.95834,0.98766,0.72815,0.89601,0.75562,1.0636,0.00128498,0.00128498,0.00128498
3,115.195,0.9336,0.70141,1.02993,0.95562,0.95887,0.98877,0.76003,0.77969,0.63406,0.9729,0.00186379,0.00186379,0.00186379
4,152.7,0.91578,0.64161,1.01748,0.97869,0.94451,0.98281,0.75353,0.83538,0.54924,1.03282,0.001802,0.001802,0.001802
5,190.177,0.88094,0.58345,1.00479,0.97147,0.96299,0.99138,0.79453,0.74697,0.48835,0.98864,0.001736,0.001736,0.001736
6,227.626,0.84072,0.54686,0.98997,0.98691,0.96909,0.99196,0.82134,0.68162,0.45734,0.93987,0.00167,0.00167,0.00167
7,266.216,0.80896,0.51928,0.98404,0.97073,0.98458,0.99229,0.80499,0.72111,0.44528,0.94777,0.001604,0.001604,0.001604
8,305.437,0.80587,0.50291,0.97906,0.97824,0.97172,0.99122,0.8073,0.70216,0.43809,0.94243,0.001538,0.001538,0.001538
9,344.198,0.77508,0.48285,0.96983,0.98717,0.98873,0.99412,0.8018,0.67842,0.39772,0.93279,0.001472,0.001472,0.001472
10,382.135,0.76689,0.47459,0.96887,0.98684,0.96367,0.9922,0.81577,0.66985,0.40713,0.93695,0.001406,0.001406,0.001406
11,419.545,0.76948,0.46576,0.96763,0.98457,0.98404,0.99434,0.84277,0.62242,0.37584,0.8986,0.00134,0.00134,0.00134
12,457.016,0.75962,0.45245,0.95783,0.98703,0.97781,0.99402,0.78382,0.78835,0.4218,0.96178,0.001274,0.001274,0.001274
13,494.493,0.74472,0.44001,0.95488,0.98946,0.98458,0.99435,0.83247,0.63054,0.35759,0.9062,0.001208,0.001208,0.001208
14,532.117,0.7221,0.42787,0.95221,0.97208,0.98972,0.99366,0.84112,0.61669,0.35094,0.90307,0.001142,0.001142,0.001142
15,569.671,0.72698,0.42246,0.95036,0.97198,0.98107,0.99305,0.83784,0.6132,0.35024,0.89456,0.001076,0.001076,0.001076
16,607.116,0.71022,0.41391,0.9414,0.98961,0.97896,0.99414,0.84493,0.59635,0.33348,0.90069,0.00101,0.00101,0.00101
17,644.686,0.69066,0.39679,0.93626,0.9847,0.98458,0.99389,0.84652,0.59282,0.33481,0.88871,0.000944,0.000944,0.000944
18,682.197,0.69159,0.39547,0.93757,0.9768,0.99229,0.99414,0.84664,0.58415,0.31699,0.88725,0.000878,0.000878,0.000878
19,719.735,0.67967,0.38483,0.93337,0.98587,0.98972,0.99393,0.85437,0.57692,0.31748,0.88551,0.000812,0.000812,0.000812
20,757.28,0.67432,0.37941,0.92955,0.98665,0.98972,0.99427,0.85157,0.56665,0.31117,0.87829,0.000746,0.000746,0.000746
21,818.402,0.64092,0.36788,0.89514,0.99198,0.97686,0.99427,0.82325,0.64357,0.34491,0.90132,0.00068,0.00068,0.00068
22,855.629,0.63214,0.35616,0.89169,0.98446,0.98458,0.99303,0.85038,0.59028,0.3372,0.88068,0.000614,0.000614,0.000614
23,892.785,0.62644,0.35261,0.89507,0.98712,0.98542,0.9943,0.85934,0.55698,0.30449,0.87869,0.000548,0.000548,0.000548
24,930.028,0.59899,0.33337,0.89066,0.98465,0.98973,0.99472,0.85879,0.56408,0.28646,0.87711,0.000482,0.000482,0.000482
25,967.238,0.59183,0.32153,0.88074,0.98968,0.98657,0.99447,0.8538,0.56237,0.29053,0.87262,0.000416,0.000416,0.000416
26,1004.42,0.58704,0.31791,0.88199,0.99149,0.98715,0.99437,0.85736,0.56555,0.29485,0.87184,0.00035,0.00035,0.00035
27,1041.74,0.56712,0.30616,0.87719,0.98669,0.98715,0.99459,0.85948,0.55567,0.28439,0.86979,0.000284,0.000284,0.000284
28,1078.94,0.56148,0.29955,0.87591,0.98306,0.98458,0.99388,0.86956,0.53543,0.27013,0.86346,0.000218,0.000218,0.000218
29,1116.16,0.55108,0.29312,0.86373,0.98164,0.98972,0.99434,0.86593,0.5316,0.26594,0.86066,0.000152,0.000152,0.000152
30,1153.4,0.54044,0.28145,0.86505,0.9796,0.98733,0.99441,0.86899,0.53233,0.25994,0.86168,8.6e-05,8.6e-05,8.6e-05
